date,event,type
2009.11.22,馬囧遞邱鏡淳造勢，變電箱爆炸 ,意外
2009.12.14,馬囧造訪龍山寺，隔天龍山寺斷電，濃煙密布 ,意外
2010.01.01,馬囧參加跨年煙火，煙火施放兩度卡彈 ,意外
2010.03.01,嘉義燈會開幕，原訂馬囧出席，臨時替換蕭萬長，但仍然帶賽造成煙火發生意外，多人送醫 ,意外
2011.11.06,馬囧至配天宮參拜，替該宮街牌時把繩子拉斷 ,意外
2012.06.24,馬囧出席台中農會接牌儀式，採帶飄至電線桿後引發爆炸，造成停電 ,意外
2013.04.19,馬囧參加國道五楊段通車典禮，當日通車段北上64km處發生火燒車意外 ,意外
2013.06.14,馬囧參加警政署102年度績優警表揚大會，離開後跳電 ,意外
2013.12.13,馬囧參加軍購阿帕契直升機接機典禮，18日美方傳零件瑕疵，30架直升機全面停飛 ,意外
2004.10.29,馬囧贈王菲賀卡，2013年王菲再度離婚...(他一定沒把卡片給丟掉) ,離婚
2008.09.01,王靜瑩參與2008.03.18馬囧造勢晚會，9月婚姻生變離婚 ,離婚
2009.03.20,庾澄慶參與2008.03.18馬囧競選造勢晚會，隔年妻子與黃維德被爆牽手照，進而離婚 ,離婚
2011.10.18,于美人與馬囧相談，曾言馭夫有術，一年半後與James離婚 ,離婚
2014.04.25,陸軍航特部編號808的AH-64E阿帕契攻擊直升機墜毀在龍潭中正路上一棟民宅屋頂，馬囧曾於2013.12.13進入駕駛艙視察 ,意外
